"","cx_low","cy_low","cx_high","cy_high","MONEYPY","BEDROOMS","UR","KOWNRENT","TaxLow","TaxHigh","NWEIGHT","income_group_level"
"132",12.7614770092903,25.2290325081276,182.418753253915,10.6862945162853,"$15,000 to $19,999",1,"Urban","Rent",1.74,86.89,43560.200506,"6"
"133",12.0807741197854,13.4268674138273,172.688455393454,-25.9052098274017,"$20,000 to $24,999",1,"Urban","Rent",1.65,82.25,39120.17512,"7"
"134",5.37785697568977,8.94365710155317,76.8737007455343,-11.1774622797966,"$25,000 to $29,999",1,"Urban","Rent",0.73,36.61,19828.772165,"8"
"135",5.92858333619598,18.1649729641452,81.7301281946425,10.3192050553742,"$30,000 to $34,999",1,"Urban","Rent",0.81,38.93,33024.88881,"9"
"136",7.07991830842356,-38.2885006551645,88.1399556685226,0.489769704038338,"$35,000 to $39,999",1,"Urban","Rent",0.96,41.98,35857.057409,"10"
"137",7.7353188181794,-7.90001767975505,101.522888677873,17.2698508799076,"$40,000 to $44,999",1,"Urban","Rent",1.05,48.36,12892.407959,"11"
"138",9.41916683132859,66.6485823478133,134.642147520285,31.6065331570673,"$45,000 to $49,999",1,"Urban","Rent",1.28,64.13,10651.14115,"12"
"139",10.6264886986843,-41.0520815603134,151.900192937668,21.7241824120283,"$50,000 to $54,999",1,"Urban","Rent",1.45,72.35,10651.14449,"13"
"140",6.08360970144441,43.0148965226713,86.9620731372245,17.9636564391043,"$55,000 to $59,999",1,"Urban","Rent",0.83,41.42,12367.40596,"14"
"141",7.13395769462294,-30.249993128084,64.6912688649262,-17.3658788651228,"$60,000 to $64,999",1,"Urban","Rent",0.97,30.81,12563.52116,"15"
"142",11.6619654827302,19.1010652109275,166.701801233598,32.772985529809,"$85,000 to $89,999",1,"Urban","Rent",1.59,79.4,10651.1428,"20"
"143",9.52785517461852,61.7975362958901,136.195791511631,12.9303741428121,"$95,000 to $99,999",1,"Urban","Rent",1.3,64.87,12367.40458,"22"
"144",9.36285690865312,0.29988955726995,115.11703123496,-3.60135064066259,"Less than $2,500",2,"Urban","Rent",1.27,54.83,27644.652174,"1"
"145",7.94159286714388,27.6469900999146,113.52098731361,-12.6813269129536,"$2,500 to $4,999",2,"Urban","Rent",1.08,54.07,15692.90828,"2"
"146",19.7181217387473,-66.9526272209369,281.860413294843,-51.8896728492135,"$5,000 to $7,499",2,"Urban","Rent",2.68,134.25,7837.837941,"3"
"147",15.6108357728068,51.1438996017373,223.148871941227,26.9403894724168,"$7,500 to $9,999",2,"Urban","Rent",2.13,106.29,29536.258845,"4"
"148",15.061055325482,13.4112207639576,199.330941703364,-35.4030379008352,"$10,000 to $14,999",2,"Urban","Rent",2.05,94.94,33935.060171,"5"
"149",14.5608891061865,77.799387587124,208.14042411277,-0.0838073399217762,"$15,000 to $19,999",2,"Urban","Rent",1.98,99.14,84559.656393,"6"
"150",19.8877275912387,-39.2589896283152,284.284841762921,39.0493961721447,"$20,000 to $24,999",2,"Urban","Rent",2.71,135.4,51513.855888,"7"
"151",18.5937497285214,-41.0892765528331,244.304766840177,18.6706136390352,"$25,000 to $29,999",2,"Urban","Rent",2.53,116.36,81494.158024,"8"
"152",12.9849494442154,-73.4321931661448,174.686410423068,25.3851858605805,"$30,000 to $34,999",2,"Urban","Rent",1.77,83.2,57982.184345,"9"
"153",14.4055461383723,2.26586928334522,205.919876248695,19.032931483162,"$35,000 to $39,999",2,"Urban","Rent",1.96,98.08,16652.955424,"10"
"154",14.2732607458353,-23.2492534802236,193.313398533455,-13.4007466771773,"$40,000 to $44,999",2,"Urban","Rent",1.94,92.08,66326.200554,"11"
"155",17.48372943236,10.0728623495561,218.479379539609,10.4461155220454,"$45,000 to $49,999",2,"Urban","Rent",2.38,104.06,24327.90567,"12"
"156",12.2696152263619,-55.7657368611367,173.95613236914,-11.9001922662301,"$50,000 to $54,999",2,"Urban","Rent",1.67,82.86,60960.60959,"13"
"157",24.8445005453448,-24.9791111957205,355.139362896526,-7.04066921770573,"$55,000 to $59,999",2,"Urban","Rent",3.38,169.15,31635.001974,"14"
"158",14.6709152839952,53.9280815429757,169.137458104158,13.2477118533912,"$60,000 to $64,999",2,"Urban","Rent",2,80.56,32846.34116,"15"
"159",14.8372239269172,67.469755259925,168.050379047139,1.09686397552278,"$65,000 to $69,999",2,"Urban","Rent",2.02,80.04,41838.566999,"16"
